Election Location,Office Name,FirstName,LastName,State
MA,SH Nineteenth Middlesex District,George,Ferdinand,MA
DE,SH D7,Larry,Lambert,DE
DE,SH D7,Shane,Stoneman,DE
DE,SH D12,Krista,Griffith,DE
DE,SH D12,Steve,Pickering,DE
DE,SH D32,Kerri,Harris,DE
DE,SH D32,Amy,Spampinato,DE
NH,Governor,Stephen,Villee,NH
NH,SS D16,Keith,Murphy,NH
Klein Independent School District,Board Member  Pos. 3,Natalie,Pilkinton,TX
CT,USS,Matthew,Corey,CT
CT,SS D9,Matthew,Lesser,CT
CT,SS D26,Kami,Evans,CT
CT,SH D28,Amy,Bello,CT
CT,SH D28,William,Davidson,CT
CT,SH D92,Patricia,Dillon,CT
CT,SH D92,Morris,Sumpter,CT
CT,SH D109,Farley,Santos,CT
CT,SH D109,Barbara,Kurpiewski,CT
CT,SH D137,Kadeem,Roberts,CT
CT,SH D137,Pietro,Rotondo,CT
CT,SH D142,Lucy,Dathan,CT
CT,SH D145,Corey,Paris,CT
CT,SH D145,Fritz,Blau,CT
Klein Independent School District,Board Member  Pos. 4,Benny,Kinsey,TX
Klein Independent School District,Board Member  Pos. 4,Denise,Morrison,TX
Klein Independent School District,Board Member  Pos. 5,Justin,Wooldridge,TX
Klein Independent School District,Board Member  Pos. 5,Nicole,Peters,TX
Brownsville Independent School District,Board Member  Pos. 3,Victor,Caballero,TX
Brownsville Independent School District,Board Member  Pos. 5,Nelda,Rocha,TX
Brownsville Independent School District,Board Member  Pos. 5,Daniella,Lopez Valdez,TX
Brownsville Independent School District,Board Member  Pos. 6,Marisa,Leal,TX
Brownsville Independent School District,Board Member  Pos. 6,Minerva,Peña,TX
Brownsville Independent School District,Board Member  Pos. 7,Erasmo,Castro,TX
Brownsville Independent School District,Board Member  Pos. 7,Farley,Trevino,TX
Clint Independent School District,Board Member At-Large,Maria,Marcias,TX
Clint Independent School District,Board Member At-Large,Ignacio,Martinez,TX
Henry County,County Commission D4,John,Blount,GA
Henry County,County Commission D4,Phedra,Thomas,GA
Henry County,County Commission D4,Robert,Kolpak,GA
Orange County,County Commissioner D5,Steve,Leary,FL
Dunedin,Council Seat 3,Kate,Spangler,FL
Cape Canaveral,Mayor,Wes,Morrison,FL
Cape Canaveral,Mayor,Angela,Raymond,FL
Cocoa City,Mayor,Mike,Blake,FL
Cocoa City,Mayor,George,Cowart,FL
Cocoa Beach,Mayor,Keith,Capizzi,FL
Cocoa Beach,Mayor,Dave,Netterstrom,FL
Cocoa Beach,Commissioner Seat 2,Angela,Cobb,FL
Cocoa Beach,Commissioner Seat 3,Michael,Johnson,FL
Cocoa Beach,Commissioner Seat 3,Tim,Tumulty,FL
Indian Harbour Beach City,Council Seat 3,Susan,Ruimy,FL
Melbourne,Council D1,Dean,Paterakis,FL
Melbourne,Council D1,Marcus,Smith,FL
Rockledge,Council Seat 6,Tara,Connor,FL
Satellite Beach,Council,Nicolle,Boujaber,FL
Satellite Beach,Council,Mike,Chase,FL
Satellite Beach,Council,Jazzie,Hennings,FL
Satellite Beach,Mayor,Gabriel,Johnson,FL
Satellite Beach,Mayor,Steven,Osmer,FL
Satellite Beach,Council,Stephen,Sams,FL
West Melbourne,Council,Adam,Gaffney,FL
Pasco County,County Commissioner D3,Janine,Duffy,FL
Winter Springs,City Commissioner D3,Sarah,Baker,FL
Winter Springs,City Commissioner D3,Karen,Meyer,FL
Venice,Council D4,James,Boldt,FL
Venice,Council D4,Joan,Iacono,FL
Molalla,Mayor,Jennifer,Satter,OR
Molalla,Mayor,Amy,Williams,OR
Molalla,Council,Doug,Gilmer,OR
Eureka,Council W2,Kenny,Carswell,CA
Arcadia,Council D1,David,Arvizu,CA
Arcadia,Council D4,Paul,Cheng,CA
Arcadia,Council D4,Steve,Rhee,CA
VT,USS,Steve,Berry,VT
VT,USS,Mark,Greenstein,CT
VT,USS,Matt,Hill,VT
VT,USS,Justin,Schoville,VT
VT,USC,Adam,Ortiz,VT
VT,Governor,June,Goodband,VT
VT,Governor,Kevin,Hoyt,VT
VT,Governor,Eli,Mutino,VT
VT,SS Ben 1 District,Cynthia,Browning,VT
VT,SS Ben 1 District,Rob,Plunkett,VT
VT,SS Ben 1 District,Lawrence,Whitmire,VT
VT,SS Chi SE 1 District,Taylor,Craven,VT
VT,SS Lam 1 District,Maureen,Heck,VT
VT,SS Lam 1 District,Richard,Westman,VT
VT,SS Rut 1 District,Dana,Peterson,VT
VT,SS Was 1 District,Michael,Deering,VT
VT,SS Was 1 District,Michael,Doyle,VT
VT,SS Wdh 1 District,Ken,Fay,VT
VT,SH Add 2 District,Peter,Conlon,VT
VT,SH Add 2 District,Christine,Stone,VT
Baldwin Park,Council,Laura,Franklin,CA
Baldwin Park,Council,Manuel,Lozano,CA
Baldwin Park,Council,Daniel,Damian,CA
Baldwin Park,Council,Emmanuel,Estrada,CA
Baldwin Park,Council,Marlen,Garcia,CA
Baldwin Park,Council,Joanna,Valenzuela,CA
Baldwin Park,Council,George,Silva,CA
Baldwin Park,Council,Christopher,Saenz,CA
Bell Gardens,Council,Miguel,De La Rosa,CA
Bell Gardens,Council,Jennifer,Rodriguez,CA
Bell Gardens,Council,Jorgel,Chavez,CA
Bellflower,Council D1,Wendi,Morse,CA
Bellflower,Council D1,Aaron,Drake,CA
Burbank,Council,Hovanes,Tonoyan,CA
VT,SH Ben 1 District,Bruce,Busa,VT
VT,SH Ben 1 District,Jonathan,Cooper,VT
VT,SH Cal Esx District,Deborah,Dolgin,VT
VT,SH Chi 19 District,Spencer,Sherman,VT
VT,SH Chi 20 District,Joshua,Cropp,VT
VT,SH Chi 24 District,Alyssa,Black,VT
VT,SH Chi 24 District,Ron,Lawrence,VT
VT,SH Fra 1 District,Ashley,Bartley,VT
VT,SH Fra 1 District,Carolyn,Branagan,VT
VT,SH Fra 3 District,Joe,Luneau,VT
VT,SH Fra 4 District,Thomas,Oliver,VT
VT,SH Fra 4 District,Matthew,Walker,VT
VT,SH Lam 3 District,Lucy,Boyden,VT
VT,SH Lam 3 District,Paul,Sciortino,VT
VT,SH Lam Was District,Charles,Burnham,VT
VT,SH Lam Was District,Nick,Lopez,VT
VT,SH Ora Cal District,James,Merriam,VT
VT,SH Ora Cal District,Joe,Parsons,VT
VT,SH Rut 6 District,Cindy,Laskevich,VT
VT,SH Rut 7 District,Chris,Keyser,VT
VT,SH Rut 7 District,William,Notte,VT
VT,SH Rut 9 District,Stephanie,Jerome,VT
VT,SH Rut 9 District,Todd,Nielsen,VT
VT,SH Was 1 District,Anne,Donahue,VT
VT,SH Was 1 District,Kenneth,Goslant,VT
VT,SH Was 1 District,Lucas,Herring,VT
San Gabriel,Council,Jeanne,Raya,CA
San Gabriel,Council,Tony,Ding,CA
San Gabriel,Council,Carina,Rivera,CA
San Gabriel,Council,Jorge,Herrera Avila,CA
San Gabriel,Council,Isela,Bowles,CA
Santa Monica,Council,Ericka,Lesley,CA
Santa Monica,Council,Oscar,de la Torre,CA
Santa Monica,Council,Dan,Hall,CA
Santa Monica,Council,Ellis,Raskin,CA
Santa Monica,Council,Vivian,Roknian,CA
Santa Monica,Council,John,Putnam,CA
Santa Monica,Council,Phil,Brock,CA
Santa Monica,Council,Wade,Kelley,CA
Santa Monica,Council,Barry,Snell,CA
Santa Monica,Council,Natalya,Zernitskaya,CA
Burbank,Council,Mike,Van Gorder,CA
Carson,Mayor,Jim,Dear,CA
Carson,Council D3,Cedric,Hicks,CA
Carson,Council D3,Daniel,Valdez,CA
Claremont,Council D5,Silviano,Medina,CA
Claremont,Council D5,Kingoro,Onami,CA
Culver,Council,Bryan,Fish,CA
Culver,Council,Yasmine-Iman,McMorrin,CA
Culver,Council,Adrian,Gross,CA
Culver,Council,Denice,Renteria,CA
Culver,Council,Nancy,Barba,CA
Culver,Council,Albert,Vera,CA
VT,SH Was 1 District,David,Rapacz,VT
VT,SH Was 2 District,Eugene,Bifano,VT
VT,SH Was 2 District,John,Burns,VT
VT,SH Was 3 District,Michael,Boutin,VT
VT,SH Was 3 District,Carol,Dawes,VT
VT,SH Was 4 District,Kate,Mccann,VT
VT,SH Was Chi District,James,Haddad,VT
VT,SH Wdh 3 District,Casey,Cota,VT
VT,SH Wdh 4 District,Mike,Mrowicki,VT
VT,SH Wdh 4 District,Lynne,Wilkins,VT
VT,SH Wdh 6 District,Pam,Baker,VT
VT,SH Wdh 6 District,Emily,Carris-Duncan,VT
VT,SH Wdh Wdr Ben District,Chris,Morrow,VT
VT,SH Wdh Wdr Ben District,Janet,Payne,VT
VT,SH Wdr 3 District,Keith,Stern,VT
VT,SH Wdr 5 District,Charlie,Kimbell,VT
VT,SH Wdr 5 District,Steven,Radonis,VT
VT,SH Wdr 6 District,Esme,Cole,VT
VT,SH Wdr 6 District,Joe,Trottier,VT
WY,USC,Richard,Brubaker,WY
Socorro,Council D4,Enrique,Cisneros,TX
Avenal,Commissioner At Large,Ricadro,Verdugo,CA
Avenal,Commissioner At Large,Alex,Ramirez,CA
Avenal,Commissioner At Large,Pete,Barrera,CA
Avenal,Commissioner At Large,Gabriel,Grajeda,CA
Avenal,Commissioner At Large,M. Leticia,Gamez,CA
Avenal,Commissioner At Large,David,Reynosa,CA
Humboldt County School,Director,Michael,Hansen,CA
Humboldt County School,Director,Heidi,Benzonelli,CA
Humboldt County School,Director,Joe,Matteoli,CA
Eureka,Council W2,Kati,Moulton,CA
Eureka,Council W4,Scott,Bauer,CA
Napa County Board of Educaton,Trustee Area 5,Rory,Moran,CA
Napa Valley Unified School,Trustee Area 2,Kevin,West,CA
Napa Valley Unified School,Trustee Area 2,Lisa,Chu,CA
Napa Valley Unified School,Trustee Area 5,David,Gracia,CA
Napa Valley Unified School,Trustee Area 5,John,Martin,CA
American Canyon,Mayor,David,Oro,CA
Urban Flood Safety & Water Quality District,Director Pos. 4,Roland,Havens,OR
Portland,Council D2,Sameer,Kanal,OR
Portland,Council D2,Dan,Ryan,OR
Portland,Council D3,John,Sweeney,OR
Gresham,Council Pos. 3,Thomas,Stanley,OR
Gresham,Council Pos. 5,Sue,Piazza,OR
Troutdale,Mayor,David,Ripma,OR
Troutdale,Council,Rip,Caswell,OR
Troutdale,Council,John,Leamy,OR
Hermiston,Council At Large,Jeff,Kelso,OR
Santa Monica School Board,Board Member,Christine,Falaguerra,CA
Santa Monica School Board,Board Member,Maria,Leon-Vazquez,CA
Santa Monica School Board,Board Member,Jon,Kean,CA
Santa Monica School Board,Board Member,Jennifer,Smith,CA
Cottage Grove,City Councilor At-Large,Patrick,Cartwright,OR
Cottage Grove,City Councilor At-Large,Bernie,Donner,OR
Cottage Grove,City Councilor At-Large,Darrel,Wilson,OR
Cottage Grove,City Councilor At-Large,Chris,Holloman,OR
Cottage Grove,City Councilor At-Large,Jim,Settelmeyer,OR
Cottage Grove,Council W1,Christine,Hyink,OR
Cottage Grove,Council W1,Kevin,Adamski,OR
Keizer,Council Pos. 1,Tammy,Kunz,OR
Keizer,Council Pos. 1,Marlene,Parsons,OR
Ashland,City Councilor Pos. 1,Teresa,Cisneros,OR
Ashland,City Councilor Pos. 1,Douglas,Knauer,OR
Central Point,Mayor,Taneea,Browning,OR
Central Point,Mayor,Zachary,Sutton,OR
Medford,City Councilor Ward 3,Elizabeth,Leydsman,OR
Medford,City Councilor Ward 3,Garrett,West,OR
SC,SH D3,James,Bowers,SC
SC,SH D6,Anthony,Wagoner,SC
SC,SH D63,Kory,Haskins,SC
SC,SH D63,Wallace,Jordan,SC
Chester County,Clerk of Court,Betty Jo,Lawson,SC
Chester County,Clerk of Court,Angela,Cook,SC
Dorchester County,County Council D6,Thomas,Feagin,SC
Dorchester County,County Council D6,William,Hearn,SC
Spartanburg County,Soil and Water District Commission,MICHAEL,BRADEY,SC
Spartanburg County,Soil and Water District Commission,Samuel,Coker,SC
Berkeley County,School Board At Large,David,Barrow,SC
